source,team,name,throws_bats,source_direction_code,logical_direction_code,direction_code,direction,slot,raw_pitch_type,pitch_type,canonical_pitch_type,movement,source_class,status,kind,raw_text,normalized_text,raw_neighbor_text,detail
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,左投左打,1,1,1,スライダー方向,1,スライダー,スライダー,スライダー,4,v14,ok,breaking,スライダー /,スライダー /,148 85 71 ストレート スライダー / / / チェンジアップ ツーシームファスト / / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,左投左打,3,3,3,フォーク方向,1,チェンジアップ,チェンジアップ,チェンジアップ,4,v34,ok,breaking,,,"""c3 w""> 71 ストレート スライダー / / / チェンジアップ ツーシームファスト / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,左投左打,,,,ストレート系第二種,,ツーシームファスト,ツーシームファスト,ツーシームファスト,0,,second_fastball,second_fastball,148 85 71 ストレート スライダー / / / チェンジアップ ツーシームファスト / / /,148 85 71 ストレート スライダー / / / チェンジアップ ツーシームファスト / / /,148 85 71 ストレート スライダー / / / チェンジアップ ツーシームファスト / / /,投手能力ブロック全体から検出
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,右投右打,3,3,3,フォーク方向,1,SFF,SFF,SFF,5,v35,ok,breaking,,,"e"">41 49 ストレート / / / ＳＦＦ / / カーブ /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,右投右打,4,2,2,カーブ方向,1,カーブ,カーブ,カーブ,2,v42,ok,breaking,/ カーブ /,/ カーブ /,ストレート / / / ＳＦＦ / / カーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,右投右打,2,4,4,シンカー方向,1,シンカー,シンカー,シンカー,3,v23,ok,breaking,/ シンカー /,/ シンカー /,"class=""c1 w""> 150 70 58 ストレート / / シンカー / ツーシームファスト スライダー / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,右投右打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,3,v53,ok,breaking,スライダー /,スライダー /,ストレート / / シンカー / ツーシームファスト スライダー / / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,右投右打,,,,ストレート系第二種,,ツーシームファスト,ツーシームファスト,ツーシームファスト,0,,second_fastball,second_fastball,150 70 58 ストレート / / シンカー / ツーシームファスト スライダー / / /,150 70 58 ストレート / / シンカー / ツーシームファスト スライダー / / /,150 70 58 ストレート / / シンカー / ツーシームファスト スライダー / / /,投手能力ブロック全体から検出
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,右投左打,2,4,4,シンカー方向,1,サークルチェンジ,サークルチェンジ,サークルチェンジ,2,v22,ok,breaking,/ サークルチェンジ /,/ サークルチェンジ /,"class=""c1 w""> 157 61 59 ストレート / / サークルチェンジ / スライダー / / ナックルカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,右投左打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,3,v53,ok,breaking,スライダー /,スライダー /,59 ストレート / / サークルチェンジ / スライダー / / ナックルカーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,右投左打,4,2,2,カーブ方向,1,ナックルカーブ,ナックルカーブ,ナックルカーブ,5,v45,ok,breaking,/ ナックルカーブ /,/ ナックルカーブ /,"class=""c1""> ストレート / / サークルチェンジ / スライダー / / ナックルカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,右投右打,2,4,4,シンカー方向,1,Hシンカー,Hシンカー,Hシンカー,2,v22,ok,breaking,/ Ｈシンカー /,/ Hシンカー /,"class=""c1 w""> 148 75 60 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,右投右打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,4,v541,ok,breaking,スライダー カットボール,スライダー カットボール,"c"">60 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,右投右打,5,1,1,スライダー方向,2,カットボール,カットボール,カットボール,1,v541,ok,breaking,スライダー カットボール,スライダー カットボール,"c"">60 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,右投右打,3,3,3,フォーク方向,1,Vスライダー,Vスライダー,Vスライダー,4,v342,ok,breaking,,,61 61 ストレート / / / Ｖスライダー / / ドロップカーブ / ＳＦＦ,raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,右投右打,3,3,3,フォーク方向,2,SFF,SFF,SFF,2,v342,ok,breaking,,,61 61 ストレート / / / Ｖスライダー / / ドロップカーブ / ＳＦＦ,raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,右投右打,4,2,2,カーブ方向,1,ドロップカーブ,ドロップカーブ,ドロップカーブ,2,v42,ok,breaking,/ ドロップカーブ /,/ ドロップカーブ /,ストレート / / / Ｖスライダー / / ドロップカーブ / ＳＦＦ,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,宮 城,右投右打,3,3,3,フォーク方向,1,フォーク,フォーク,フォーク,4,v34,ok,breaking,,,""">49 50 ストレート / / / フォーク / / ドロップカーブ /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,宮 城,右投右打,4,2,2,カーブ方向,1,ドロップカーブ,ドロップカーブ,ドロップカーブ,4,v44,ok,breaking,/ ドロップカーブ /,/ ドロップカーブ /,/b> ストレート / / / フォーク / / ドロップカーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,左投左打,1,1,1,スライダー方向,1,Hスライダー,Hスライダー,Hスライダー,2,v121,ok,breaking,Ｈスライダー スライダー,Hスライダー スライダー,151 60 47 ストレート Ｈスライダー / スライダー / / / / シンキングスプリット /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,左投左打,1,1,1,スライダー方向,2,スライダー,スライダー,スライダー,1,v121,ok,breaking,Ｈスライダー スライダー,Hスライダー スライダー,151 60 47 ストレート Ｈスライダー / スライダー / / / / シンキングスプリット /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,左投左打,4,4,4,シンカー方向,1,シンキングスプリット,シンキングスプリット,シンキングスプリット,5,v45,ok,breaking,/ シンキングスプリット /,/ シンキングスプリット /,"ass=""bl w""> ストレート Ｈスライダー / スライダー / / / / シンキングスプリット /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,右投左打,1,5,5,シュート方向,1,シンキングツーシーム,シンキングツーシーム,シンキングツーシーム,3,v13,ok,breaking,シンキングツーシーム /,シンキングツーシーム /,137 61 51 ストレート シンキングツーシーム / / / スライダー / / カーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,右投左打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,3,v53,ok,breaking,スライダー /,スライダー /,"b class=""c1""> ストレート シンキングツーシーム / / / スライダー / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,右投左打,4,2,2,カーブ方向,1,カーブ,カーブ,カーブ,1,v41,ok,breaking,/ カーブ /,/ カーブ /,"class=""v13""> シンキングツーシーム / / / スライダー / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,右投右打,2,4,4,シンカー方向,1,Hシンカー,Hシンカー,Hシンカー,4,v24,ok,breaking,/ Ｈシンカー /,/ Hシンカー /,"class=""c1 w""> 152 65 48 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,右投右打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,2,v521,ok,breaking,スライダー カットボール,スライダー カットボール,"e"">48 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,右投右打,5,1,1,スライダー方向,2,カットボール,カットボール,カットボール,1,v521,ok,breaking,スライダー カットボール,スライダー カットボール,"e"">48 ストレート / / Ｈシンカー / スライダー / カットボール / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,右投右打,1,5,5,シュート方向,1,シンキングツーシーム,シンキングツーシーム,シンキングツーシーム,1,v11,ok,breaking,シンキングツーシーム /,シンキングツーシーム /,154 57 48 ストレート シンキングツーシーム / / シンキングスプリット / / / カーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,右投右打,2,4,4,シンカー方向,1,シンキングスプリット,シンキングスプリット,シンキングスプリット,5,v25,ok,breaking,/ シンキングスプリット /,/ シンキングスプリット /,"w""> 57 48 ストレート シンキングツーシーム / / シンキングスプリット / / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,右投右打,4,2,2,カーブ方向,1,カーブ,カーブ,カーブ,1,v41,ok,breaking,/ カーブ /,/ カーブ /,"=""v11""> シンキングツーシーム / / シンキングスプリット / / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,ルイーズ,右投右打,2,4,4,シンカー方向,1,サークルチェンジ,サークルチェンジ,サークルチェンジ,3,v23,ok,breaking,/ サークルチェンジ /,/ サークルチェンジ /,"class=""c1 w""> 158 46 44 ストレート / / サークルチェンジ / ツーシームファスト / / パワーカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,ルイーズ,右投右打,4,2,2,カーブ方向,1,パワーカーブ,パワーカーブ,パワーカーブ,3,v43,ok,breaking,/ パワーカーブ /,/ パワーカーブ /,"l w""> ストレート / / サークルチェンジ / ツーシームファスト / / パワーカーブ /",raw_textから投げ手補正後の方向一致候補を採用
