special,count
三振,135
球速安定,126
リリース○,123
奪三振,116
四球,113
抜け球,98
逃げ球,88
球持ち○,88
サヨナラ男,80
固め打ち,75
内野安打○,74
満塁男,67
併殺,67
流し打ち,66
内角攻め,65
キレ○,59
牽制○,56
緩急○,53
バント○,53
決勝打,51
ナチュラルシュート,47
回またぎ○,47
スロースターター,45
フライボールピッチャー,44
荒れ球,44
エラー,43
一発,42
ヘッドスライディング,39
ゴロピッチャー,39
カット打ち,38
初球○,37
対ランナー,37
死球集中,34
真っスラ,33
打球反応○,33
緊急登板○,33
逆境○,30
インコースヒッター,30
広角打法,29
粘り打ち,27
クロスファイヤー,27
プルヒッター,26
意外性,24
対ストレート○,23
ホーム突入,19
力配分,19
悪球打ち,18
要所○,18
マルチ弾,18
レーザービーム,17
ポーカーフェイス,16
負け運,15
ハイボールヒッター,15
乱調,15
お祭り男,14
寸前,14
低め○,14
対ランナー○,13
ホーム死守,13
ラインドライブ,12
守備職人,11
対変化球○,10
ローボールヒッター,10
アウトコースヒッター,9
ストライク先行,9
勝ち運,9
オリックスキラー,8
存在感,8
尻上がり,8
春男,7
かく乱,7
バント職人,7
夏男,6
国際大会○,6
ホークスキラー,6
いぶし銀,5
巨人キラー,5
チャンスメーカー,5
代打○,4
パワーヒッター,4
ファイターズキラー,4
楽天キラー,3
西武キラー,3
秋男,3
アベレージヒッター,3
ダメ押し,3
軽い球,3
ヤクルトキラー,3
中日キラー,3
阪神キラー,2
広島キラー,2
ロッテキラー,2
DeNAキラー,1
プレッシャーラン,1
ジャイロボール,1
火消し,1
高速チャージ,1
