source,team,name,direction_code,direction,slot,pitch_type,movement,source_class,status
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,1,スライダー方向,1,スライダー,4,v14,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,3,フォーク方向,1,スライダー,4,v34,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,3,フォーク方向,1,カーブ,5,v35,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,4,シンカー方向,1,カーブ,2,v42,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,2,カーブ方向,1,シンカー,3,v23,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,5,シュート方向,1,スライダー,3,v53,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,2,カーブ方向,1,サークルチェンジ,2,v22,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,5,シュート方向,1,スライダー,3,v53,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,デュプランティエ,4,シンカー方向,1,ナックルカーブ,5,v45,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,2,カーブ方向,1,シンカー,2,v22,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,5,シュート方向,1,スライダー,4,v541,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,平 良,5,シュート方向,2,カットボール,1,v541,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,3,フォーク方向,1,スライダー,4,v342,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,3,フォーク方向,2,ドロップカーブ,2,v342,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,竹 田,4,シンカー方向,1,ドロップカーブ,2,v42,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,宮 城,3,フォーク方向,1,フォーク,4,v34,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,宮 城,4,シンカー方向,1,ドロップカーブ,4,v44,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,1,スライダー方向,1,スライダー,2,v121,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,1,スライダー方向,2,unknown,1,v121,unknown
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 本,4,シンカー方向,1,シンキングスプリット,5,v45,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,1,スライダー方向,1,シンキングツーシーム,3,v13,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,5,シュート方向,1,スライダー,3,v53,ok
