データ,カテゴリ,集計軸,比較用適正パターン,詳細適正パターン,人数,割合%,平均球速
実在12球団,実在12球団,適正パターン別,中,中,128,31.84,
実在12球団,実在12球団,適正パターン別,先中,先中,108,26.87,
実在12球団,実在12球団,適正パターン別,先,先,87,21.64,
実在12球団,実在12球団,適正パターン別,中抑,中抑,68,16.92,
実在12球団,実在12球団,適正パターン別,先中抑,先中抑,11,2.74,
生成,生成（カテゴリ不明）,適正パターン別,中,先発- / 中継ぎ◎ / 抑え-,2339,15.59,149.701
生成,生成（カテゴリ不明）,適正パターン別,中抑,先発- / 中継ぎ◎ / 抑え○,1147,7.65,150.327
生成,生成（カテゴリ不明）,適正パターン別,中抑,先発- / 中継ぎ◎ / 抑え◎,1274,8.49,152.53
生成,生成（カテゴリ不明）,適正パターン別,先中,先発○ / 中継ぎ◎ / 抑え-,2615,17.43,150.346
生成,生成（カテゴリ不明）,適正パターン別,先中抑,先発○ / 中継ぎ◎ / 抑え◎,507,3.38,154.602
生成,生成（カテゴリ不明）,適正パターン別,先,先発◎ / 中継ぎ- / 抑え-,3960,26.4,148.416
生成,生成（カテゴリ不明）,適正パターン別,先中,先発◎ / 中継ぎ○ / 抑え-,3158,21.05,149.403
