データ,特殊能力,カテゴリ,出現数,出現率%
実在12球団,おまかせ,usage,194,24.56
実在12球団,スタミナ限界,usage,19,2.41
実在12球団,セーブ狙い,usage,1,0.13
実在12球団,ビハインドでも,usage,32,4.05
実在12球団,リード時,usage,18,2.28
実在12球団,中継ぎエース,usage,15,1.9
実在12球団,代打要員,usage,24,3.04
実在12球団,代走要員,usage,15,1.9
実在12球団,勝利投手,usage,15,1.9
実在12球団,守備要員,usage,11,1.39
実在12球団,守護神,usage,10,1.27
実在12球団,完投,usage,3,0.38
実在12球団,左のワンポイント,usage,2,0.25
実在12球団,接戦時,usage,19,2.41
実在12球団,調子安定,usage,15,1.9
実在12球団,調子極端,usage,43,5.44
実在12球団,調子次第,usage,74,9.37
実在12球団,チームプレイ○,緑特,31,3.92
実在12球団,テンポ○,緑特,25,3.16
実在12球団,フル出場,緑特,1,0.13
実在12球団,ミート多用,緑特,34,4.3
実在12球団,変化球中心,緑特,50,6.33
実在12球団,強振多用,緑特,41,5.19
実在12球団,慎重打法,緑特,49,6.2
実在12球団,慎重盗塁,緑特,40,5.06
実在12球団,投球位置右,緑特,5,0.63
実在12球団,投球位置左,緑特,2,0.25
実在12球団,積極守備,緑特,59,7.47
実在12球団,積極打法,緑特,89,11.27
実在12球団,積極盗塁,緑特,49,6.2
実在12球団,積極走塁,緑特,73,9.24
実在12球団,速球中心,緑特,42,5.32
実在12球団,選球眼,緑特,71,8.99
実在12球団,エラー,赤特,43,5.44
実在12球団,スロースターター,赤特,45,5.7
実在12球団,一発,赤特,42,5.32
実在12球団,三振,赤特,135,17.09
実在12球団,乱調,赤特,15,1.9
実在12球団,併殺,赤特,67,8.48
実在12球団,四球,赤特,113,14.3
実在12球団,寸前,赤特,14,1.77
実在12球団,抜け球,赤特,98,12.41
実在12球団,負け運,赤特,15,1.9
実在12球団,軽い球,赤特,3,0.38
実在12球団,DeNAキラー,青特,1,0.13
実在12球団,いぶし銀,青特,5,0.63
実在12球団,お祭り男,青特,14,1.77
実在12球団,かく乱,青特,7,0.89
実在12球団,アウトコースヒッター,青特,9,1.14
実在12球団,アベレージヒッター,青特,3,0.38
実在12球団,インコースヒッター,青特,30,3.8
実在12球団,オリックスキラー,青特,8,1.01
実在12球団,カット打ち,青特,38,4.81
実在12球団,キレ○,青特,59,7.47
実在12球団,クロスファイヤー,青特,27,3.42
実在12球団,ゴロピッチャー,青特,39,4.94
実在12球団,サヨナラ男,青特,80,10.13
実在12球団,ジャイロボール,青特,1,0.13
実在12球団,ストライク先行,青特,9,1.14
実在12球団,ダメ押し,青特,3,0.38
実在12球団,チャンスメーカー,青特,5,0.63
実在12球団,ナチュラルシュート,青特,47,5.95
実在12球団,ハイボールヒッター,青特,15,1.9
実在12球団,バント○,青特,53,6.71
実在12球団,バント職人,青特,7,0.89
実在12球団,パワーヒッター,青特,4,0.51
実在12球団,ファイターズキラー,青特,4,0.51
実在12球団,フライボールピッチャー,青特,44,5.57
実在12球団,プルヒッター,青特,26,3.29
実在12球団,プレッシャーラン,青特,1,0.13
実在12球団,ヘッドスライディング,青特,39,4.94
実在12球団,ホークスキラー,青特,6,0.76
実在12球団,ホーム死守,青特,13,1.65
実在12球団,ホーム突入,青特,19,2.41
実在12球団,ポーカーフェイス,青特,16,2.03
実在12球団,マルチ弾,青特,18,2.28
実在12球団,ヤクルトキラー,青特,3,0.38
実在12球団,ラインドライブ,青特,12,1.52
実在12球団,リリース○,青特,123,15.57
