カテゴリ,対象,能力,実在_人数,実在_平均,実在_標準偏差,実在_中央値,実在_最小,実在_最大,実在_10%,実在_25%,実在_75%,実在_90%,生成_人数,生成_平均,生成_標準偏差,生成_中央値,生成_最小,生成_最大,生成_10%,生成_25%,生成_75%,生成_90%,平均差分
架空球団用,投手,球速,402,152.117,4.343,152.0,133.0,161.0,147.1,150.0,155.0,158.0,5000,151.089,5.935,151.0,135.0,165.0,143.0,147.0,155.0,159.0,-1.028
架空球団用,投手,コントロール,402,52.109,12.392,51.0,22.0,87.0,37.1,43.0,61.0,69.0,5000,51.513,12.694,51.0,22.0,89.0,35.0,42.0,60.0,68.0,-0.596
架空球団用,投手,スタミナ,402,52.01,10.197,50.0,27.0,86.0,41.0,45.0,58.0,65.0,5000,52.533,12.349,52.0,20.0,92.0,37.0,44.0,61.0,68.0,0.523
架空球団用,投手,球種数,402,2.821,0.421,3.0,2.0,4.0,2.0,3.0,3.0,3.0,5000,2.854,0.587,3.0,1.0,5.0,2.0,3.0,3.0,3.0,0.033
架空球団用,投手,総変化量,402,6.818,1.557,7.0,3.0,13.0,5.0,6.0,8.0,9.0,5000,6.945,1.723,7.0,1.0,13.0,5.0,6.0,8.0,9.0,0.127
架空球団用,投手,第二球種数,402,0.182,0.386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000,0.217,0.412,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.035
ドラフト候補用,投手,球速,402,152.117,4.343,152.0,133.0,161.0,147.1,150.0,155.0,158.0,5000,145.626,5.201,145.0,134.0,165.0,139.0,142.0,149.0,153.0,-6.491
ドラフト候補用,投手,コントロール,402,52.109,12.392,51.0,22.0,87.0,37.1,43.0,61.0,69.0,5000,49.488,11.395,49.0,28.0,80.0,34.0,40.0,57.0,64.0,-2.621
ドラフト候補用,投手,スタミナ,402,52.01,10.197,50.0,27.0,86.0,41.0,45.0,58.0,65.0,5000,54.785,12.71,54.0,25.0,94.0,38.0,46.0,64.0,71.0,2.775
ドラフト候補用,投手,球種数,402,2.821,0.421,3.0,2.0,4.0,2.0,3.0,3.0,3.0,5000,2.392,0.711,2.0,1.0,5.0,2.0,2.0,3.0,3.0,-0.429
ドラフト候補用,投手,総変化量,402,6.818,1.557,7.0,3.0,13.0,5.0,6.0,8.0,9.0,5000,5.664,1.92,6.0,1.0,13.0,3.0,4.0,7.0,8.0,-1.154
ドラフト候補用,投手,第二球種数,402,0.182,0.386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000,0.126,0.332,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.056
助っ人外国人用,投手,球速,402,152.117,4.343,152.0,133.0,161.0,147.1,150.0,155.0,158.0,5000,154.567,4.996,154.0,142.0,165.0,148.0,151.0,158.0,161.0,2.45
助っ人外国人用,投手,コントロール,402,52.109,12.392,51.0,22.0,87.0,37.1,43.0,61.0,69.0,5000,51.37,11.435,51.0,30.0,83.0,37.0,42.0,59.0,65.0,-0.739
助っ人外国人用,投手,スタミナ,402,52.01,10.197,50.0,27.0,86.0,41.0,45.0,58.0,65.0,5000,52.722,12.387,52.0,24.0,93.0,36.0,44.0,61.0,69.0,0.712
助っ人外国人用,投手,球種数,402,2.821,0.421,3.0,2.0,4.0,2.0,3.0,3.0,3.0,5000,3.237,0.636,3.0,1.0,5.0,3.0,3.0,4.0,4.0,0.416
助っ人外国人用,投手,総変化量,402,6.818,1.557,7.0,3.0,13.0,5.0,6.0,8.0,9.0,5000,8.09,1.887,8.0,1.0,15.0,6.0,7.0,9.0,10.0,1.272
助っ人外国人用,投手,第二球種数,402,0.182,0.386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000,0.252,0.434,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07
