カテゴリ,起用,能力,実在平均,生成平均,平均差分,実在人数,生成人数
架空球団用,先発,球速,151.097,149.965,-1.132,206,2453
架空球団用,先発,コントロール,56.155,54.775,-1.38,206,2453
架空球団用,先発,スタミナ,57.121,57.704,0.583,206,2453
架空球団用,先発,球種数,2.913,2.881,-0.032,206,2453
架空球団用,先発,総変化量,6.966,7.088,0.122,206,2453
架空球団用,中継ぎ,球速,152.359,151.807,-0.552,128,2119
架空球団用,中継ぎ,コントロール,46.148,47.622,1.474,128,2119
架空球団用,中継ぎ,スタミナ,46.586,47.895,1.309,128,2119
架空球団用,中継ぎ,球種数,2.742,2.839,0.097,128,2119
架空球団用,中継ぎ,総変化量,6.43,6.827,0.397,128,2119
架空球団用,抑え,球速,154.75,153.974,-0.776,68,428
架空球団用,抑え,コントロール,51.074,52.075,1.001,68,428
架空球団用,抑え,スタミナ,46.735,45.86,-0.875,68,428
架空球団用,抑え,球種数,2.691,2.771,0.08,68,428
架空球団用,抑え,総変化量,7.103,6.701,-0.402,68,428
架空球団用,比較対象外,球速,,,,0,0
架空球団用,比較対象外,コントロール,,,,0,0
架空球団用,比較対象外,スタミナ,,,,0,0
架空球団用,比較対象外,球種数,,,,0,0
架空球団用,比較対象外,総変化量,,,,0,0
ドラフト候補用,先発,球速,151.097,144.752,-6.345,206,2451
ドラフト候補用,先発,コントロール,56.155,49.238,-6.917,206,2451
ドラフト候補用,先発,スタミナ,57.121,60.63,3.509,206,2451
ドラフト候補用,先発,球種数,2.913,2.46,-0.453,206,2451
ドラフト候補用,先発,総変化量,6.966,5.851,-1.115,206,2451
ドラフト候補用,中継ぎ,球速,152.359,146.022,-6.337,128,2109
ドラフト候補用,中継ぎ,コントロール,46.148,49.566,3.418,128,2109
ドラフト候補用,中継ぎ,スタミナ,46.586,49.84,3.254,128,2109
ドラフト候補用,中継ぎ,球種数,2.742,2.327,-0.415,128,2109
ドラフト候補用,中継ぎ,総変化量,6.43,5.46,-0.97,128,2109
ドラフト候補用,抑え,球速,154.75,148.6,-6.15,68,440
ドラフト候補用,抑え,コントロール,51.074,50.509,-0.565,68,440
ドラフト候補用,抑え,スタミナ,46.735,45.934,-0.801,68,440
ドラフト候補用,抑え,球種数,2.691,2.325,-0.366,68,440
ドラフト候補用,抑え,総変化量,7.103,5.605,-1.498,68,440
ドラフト候補用,比較対象外,球速,,,,0,0
ドラフト候補用,比較対象外,コントロール,,,,0,0
ドラフト候補用,比較対象外,スタミナ,,,,0,0
ドラフト候補用,比較対象外,球種数,,,,0,0
ドラフト候補用,比較対象外,総変化量,,,,0,0
助っ人外国人用,先発,球速,151.097,153.523,2.426,206,2214
助っ人外国人用,先発,コントロール,56.155,54.003,-2.152,206,2214
助っ人外国人用,先発,スタミナ,57.121,59.317,2.196,206,2214
助っ人外国人用,先発,球種数,2.913,3.259,0.346,206,2214
助っ人外国人用,先発,総変化量,6.966,8.2,1.234,206,2214
助っ人外国人用,中継ぎ,球速,152.359,154.857,2.498,128,1873
助っ人外国人用,中継ぎ,コントロール,46.148,48.204,2.056,128,1873
助っ人外国人用,中継ぎ,スタミナ,46.586,48.091,1.505,128,1873
助っ人外国人用,中継ぎ,球種数,2.742,3.223,0.481,128,1873
助っ人外国人用,中継ぎ,総変化量,6.43,8.011,1.581,128,1873
助っ人外国人用,抑え,球速,154.75,156.506,1.756,68,913
助っ人外国人用,抑え,コントロール,51.074,51.478,0.404,68,913
助っ人外国人用,抑え,スタミナ,46.735,46.231,-0.504,68,913
助っ人外国人用,抑え,球種数,2.691,3.215,0.524,68,913
助っ人外国人用,抑え,総変化量,7.103,7.985,0.882,68,913
助っ人外国人用,比較対象外,球速,,,,0,0
助っ人外国人用,比較対象外,コントロール,,,,0,0
助っ人外国人用,比較対象外,スタミナ,,,,0,0
助っ人外国人用,比較対象外,球種数,,,,0,0
助っ人外国人用,比較対象外,総変化量,,,,0,0
