seed,対象,チェック,特殊能力,カテゴリ,player_type
202607090004,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ストライク先行、ノビE、四球、回復D、対ピンチD、対左打者D、打たれ強さC、負け運、送球F、速球中心,架空球団用,スタミナ型
202607090014,投手,四球・抜け球・乱調と低コントロール,クイックA、ケガしにくさD、ノビC、乱調、回復D、対ピンチE、対左打者D、打たれ強さC、軽い球、送球D,架空球団用,速球派
202607090014,投手,一発・軽い球と球速・総変化量,クイックA、ケガしにくさD、ノビC、乱調、回復D、対ピンチE、対左打者D、打たれ強さC、軽い球、送球D,架空球団用,速球派
202607090019,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさB、ノビE、内角攻め、四球、回復E、対ピンチA、対左打者D、打たれ強さD、荒れ球、送球B,架空球団用,技巧派
202607090032,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビD、回復E、対ピンチD、対左打者E、打たれ強さD、投球位置右、短気、送球F,架空球団用,技巧派
202607090033,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、テンポ○、ノビB、フライボールピッチャー、一発、低め○、回復C、対ピンチC、対左打者E、打たれ強さD、送球D,架空球団用,速球派
202607090035,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさE、ノビE、一発、四球、回復D、対ピンチC、対左打者E、打たれ強さD、送球E、重い球,架空球団用,本格派
202607090036,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさD、ノビC、回復E、対ピンチA、対左打者E、尻上がり、打たれ強さD、送球E,架空球団用,速球派
202607090039,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさF、ノビD、回復E、対ピンチE、対左打者E、打たれ強さD、抜け球、送球D,架空球団用,スタミナ型
202607090055,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさE、ノビC、一発、勝ち運、回復B、対ピンチB、対左打者D、打たれ強さC、抜け球、球速安定、送球D,架空球団用,速球派
202607090060,投手,ノビ系と球速,クイックE、ケガしにくさC、ノビD、回復D、対ピンチA、対左打者B、打たれ強さC、立ち上がり○、送球C,架空球団用,技巧派
202607090063,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビC、ポーカーフェイス、一発、乱調、回復D、対ピンチD、対左打者B、打たれ強さD、緩急○、送球E,架空球団用,変化球派
202607090063,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさD、ノビC、ポーカーフェイス、一発、乱調、回復D、対ピンチD、対左打者B、打たれ強さD、緩急○、送球E,架空球団用,変化球派
202607090067,投手,一発・軽い球と球速・総変化量,クイックC、ケガしにくさE、ナチュラルシュート、ノビD、一発、乱調、回復F、対ピンチE、対左打者D、打たれ強さE、根性、送球D、重い球,架空球団用,本格派
202607090073,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ノビE、一発、低め○、回復D、対ピンチD、対左打者C、打たれ強さC、火消し、球速安定、送球D,架空球団用,技巧派
202607090077,投手,ノビ系と球速,クイックD、ケガしにくさF、ナチュラルシュート、ノビD、回復D、変化球中心、対ピンチC、対左打者E、打たれ強さD、投手調子安定、送球E,架空球団用,スタミナ型
202607090079,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさC、ノビD、四球、回復D、対ピンチC、対左打者E、打たれ強さC、送球E,架空球団用,技巧派
202607090092,投手,一発・軽い球と球速・総変化量,クイックC、ケガしにくさC、ノビE、ボール先行、一発、回復E、対ピンチE、対左打者D、打たれ強さD、抜け球、送球D,架空球団用,本格派
202607090095,投手,先発用特殊能力と先発適正,クイックF、ケガしにくさD、ストライク先行、ノビD、回復D、対ピンチD、対ランナー、対左打者D、尻上がり、打たれ強さF、送球D,架空球団用,スタミナ型
202607090099,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、スロースターター、ノビE、フライボールピッチャー、回復E、対ピンチC、対左打者D、打たれ強さB、抜け球、負け運、送球D,架空球団用,スタミナ型
202607090104,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさE、ノビE、全開、回復C、対ピンチB、対左打者D、打たれ強さD、軽い球、送球G、闘志,架空球団用,技巧派
202607090108,投手,ノビ系と球速,クイックD、ケガしにくさC、ノビD、回復D、奪三振、対ピンチD、対左打者C、打たれ強さD、立ち上がり○、送球D,架空球団用,技巧派
202607090108,投手,奪三振系と球速・総変化量,クイックD、ケガしにくさC、ノビD、回復D、奪三振、対ピンチD、対左打者C、打たれ強さD、立ち上がり○、送球D,架空球団用,技巧派
202607090109,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさB、ノビD、四球、回復D、対ピンチD、対左打者C、打たれ強さB、打球反応○、送球E,架空球団用,変化球派
202607090110,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさD、ノビF、乱調、回復D、対ピンチB、対左打者D、打たれ強さC、送球D、逃げ球,架空球団用,本格派
202607090111,投手,一発・軽い球と球速・総変化量,クイックC、ケガしにくさB、ノビE、一発、回復D、対ピンチD、対左打者D、打たれ強さE、送球E、重い球,架空球団用,技巧派
202607090115,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ストライク先行、ノビE、人気者、低め○、回復E、寸前、対ピンチC、対左打者C、打たれ強さE、軽い球、送球E、速球中心,架空球団用,技巧派
202607090118,投手,ノビ系と球速,キレ○、クイックD、ケガしにくさF、ストライク先行、ノビD、回復D、対ピンチA、対左打者C、打たれ強さD、投手調子極端、投打躍動、軽い球、送球D,架空球団用,技巧派
202607090120,投手,先発用特殊能力と先発適正,クイックE、ケガしにくさD、ノビE、内角攻め、回復D、変化球中心、対ピンチC、対左打者C、尻上がり、打たれ強さE、球速安定、送球D,架空球団用,技巧派
202607090121,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさE、ゴロピッチャー、ノビD、回復B、対ピンチD、対左打者D、打たれ強さC、抜け球、火消し、送球D,架空球団用,本格派
202607090122,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、四球、回復E、国際大会×、対ピンチB、対左打者C、打たれ強さC、打球反応○、軽い球、送球D,架空球団用,本格派
202607090122,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ノビD、四球、回復E、国際大会×、対ピンチB、対左打者C、打たれ強さC、打球反応○、軽い球、送球D,架空球団用,本格派
202607090143,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビE、四球、回復D、対ピンチD、対左打者D、打たれ強さE、送球D、速球中心,架空球団用,スタミナ型
202607090145,投手,一発・軽い球と球速・総変化量,クイックF、ケガしにくさE、ノビD、一発、回復D、対ピンチD、対左打者E、打たれ強さC、火消し、緊急登板○、送球C,架空球団用,変化球派
202607090145,投手,ノビ系と球速,クイックF、ケガしにくさE、ノビD、一発、回復D、対ピンチD、対左打者E、打たれ強さC、火消し、緊急登板○、送球C,架空球団用,変化球派
202607090148,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、乱調、四球、回復E、対ピンチD、対左打者D、打たれ強さD、球速安定、送球D,架空球団用,本格派
202607090153,投手,一発・軽い球と球速・総変化量,キレ○、クイックD、ケガしにくさD、ノビD、回復C、対ピンチC、対左打者C、打たれ強さD、投手調子安定、軽い球、送球D、逃げ球,架空球団用,技巧派
202607090160,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさC、ノビC、回復D、対ピンチD、対左打者D、打たれ強さD、抜け球、送球D,架空球団用,速球派
202607090165,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、四球、回復D、対ピンチD、対左打者D、打たれ強さG、送球D,架空球団用,変化球派
202607090172,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさF、ノビB、回復C、対ピンチE、対左打者C、打たれ強さE、抜け球、送球E,架空球団用,技巧派
202607090175,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさD、ノビD、回復E、変化球中心、対ピンチD、対左打者E、尻上がり、打たれ強さD、送球D,架空球団用,スタミナ型
202607090179,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさD、テンポ○、ノビE、回復A、対ピンチE、対左打者D、対強打者○、尻上がり、打たれ強さE、送球E,架空球団用,スタミナ型
202607090184,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさC、ノビE、勝ち運、四球、回復D、寸前、対ピンチC、対左打者D、打たれ強さE、投打躍動、要所○、送球E,架空球団用,技巧派
202607090186,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさE、ノビE、乱調、回復E、変化球中心、対ピンチC、対左打者A、打たれ強さD、送球E、闘志,架空球団用,変化球派
202607090203,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ジャイロボール、ノビD、一発、回復D、対ピンチD、対左打者D、打たれ強さD、緊急登板○、送球B、速球中心、闘志,架空球団用,本格派
202607090206,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビD、乱調、回復D、対ピンチE、対左打者E、打たれ強さE、根性、立ち上がり○、送球D,架空球団用,変化球派
202607090207,投手,ノビ系と球速,クイックD、ケガしにくさC、ナチュラルシュート、ノビD、回復E、寸前、対ピンチD、対左打者D、打たれ強さC、送球D,架空球団用,本格派
202607090216,投手,一発・軽い球と球速・総変化量,クイックC、ケガしにくさD、ノビB、全開、内角攻め、回復D、対ピンチC、対左打者D、打たれ強さE、軽い球、送球D,架空球団用,本格派
202607090220,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさF、ストライク先行、ノビF、一発、全開、回復D、対ピンチD、対左打者D、打たれ強さD、送球D,架空球団用,変化球派
202607090222,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、スロースターター、ノビA、乱調、回復D、対ピンチE、対左打者B、打たれ強さD、送球D,架空球団用,本格派
202607090247,投手,四球・抜け球・乱調と低コントロール,キレ○、クイックB、ケガしにくさG、ノビD、四球、回復D、奪三振、寸前、対ピンチD、対ランナー、対左打者D、打たれ強さD、送球D,架空球団用,変化球派
202607090247,投手,キレ系と変化球,キレ○、クイックB、ケガしにくさG、ノビD、四球、回復D、奪三振、寸前、対ピンチD、対ランナー、対左打者D、打たれ強さD、送球D,架空球団用,変化球派
202607090257,投手,ノビ系と球速,クイックD、ケガしにくさD、スロースターター、ノビC、回復D、変化球中心、対ピンチC、対左打者C、打たれ強さD、軽い球、送球D,架空球団用,技巧派
202607090262,投手,ノビ系と球速,クイックD、ケガしにくさB、ノビD、ポーカーフェイス、全開、回復D、変化球中心、対ピンチB、対左打者C、打たれ強さD、要所○、送球D,架空球団用,技巧派
202607090270,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさD、ノビF、回復D、対ピンチC、対左打者C、打たれ強さD、投球位置左、抜け球、送球A,架空球団用,技巧派
202607090290,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビE、乱調、低め○、回復E、対ピンチC、対左打者D、打たれ強さC、要所○、送球E、逃げ球,架空球団用,技巧派
202607090307,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、テンポ○、ノビD、乱調、回復D、対ピンチD、対左打者D、打たれ強さD、送球D,架空球団用,スタミナ型
202607090308,投手,四球・抜け球・乱調と低コントロール,クイックF、ケガしにくさF、スロースターター、ノビD、乱調、回復C、対ピンチB、対左打者C、尻上がり、打たれ強さD、打球反応○、火消し、牽制○、送球D,架空球団用,技巧派
202607090316,投手,ノビ系と球速,クイックF、ケガしにくさF、ストライク先行、ノビC、乱調、内角攻め、勝ち運、回復B、安全圏○、対ピンチE、対左打者D、尻上がり、打たれ強さB、送球B,架空球団用,本格派
202607090318,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビB、回復C、対ピンチC、対左打者C、尻上がり、打たれ強さE、投手存在感、送球D,架空球団用,技巧派
202607090318,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさD、ノビB、回復C、対ピンチC、対左打者C、尻上がり、打たれ強さE、投手存在感、送球D,架空球団用,技巧派
202607090320,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさG、ノビD、低め○、回復D、奪三振、対ピンチF、対左打者E、打たれ強さD、抜け球、送球C,架空球団用,速球派
202607090326,投手,一発・軽い球と球速・総変化量,クイックC、ケガしにくさD、ノビD、回復D、対ピンチD、対左打者C、尻上がり、打たれ強さD、軽い球、送球E、逃げ球,架空球団用,本格派
202607090328,投手,先発用特殊能力と先発適正,キレ○、クイックF、ケガしにくさE、ノビD、回復G、安全圏○、対ピンチD、対左打者D、尻上がり、打たれ強さE、投打躍動、球速安定、送球D、速球中心,架空球団用,速球派
202607090333,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ストライク先行、ノビG、一発、回復D、安全圏○、対ピンチC、対左打者C、打たれ強さD、送球D,架空球団用,技巧派
202607090335,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビE、回復E、対ピンチD、対左打者F、対強打者○、尻上がり、打たれ強さD、打球反応○、投手調子極端、送球D,架空球団用,変化球派
202607090337,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビD、回復C、対ピンチD、対左打者C、打たれ強さD、送球C,架空球団用,技巧派
202607090338,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさE、ナチュラルシュート、ノビE、回復F、対ピンチD、対左打者E、尻上がり、打たれ強さD、送球F,架空球団用,変化球派
202607090343,投手,一発・軽い球と球速・総変化量,クイックG、ケガしにくさE、ノビD、ムード○、一発、回復E、奪三振、対ピンチB、対左打者D、打たれ強さD、緩急○、送球D,架空球団用,変化球派
202607090361,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさB、ノビD、回復D、対ピンチD、対左打者E、打たれ強さG、抜け球、負け運、送球D,架空球団用,スタミナ型
202607090363,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさE、テンポ○、ナチュラルシュート、ノビF、四球、回復E、安全圏○、対ピンチC、対左打者C、打たれ強さE、投手調子安定、送球D,架空球団用,技巧派
202607090368,投手,一発・軽い球と球速・総変化量,クイックF、ケガしにくさD、ノビE、回復C、国際大会○、対ピンチE、対左打者E、打たれ強さE、軽い球、送球D,架空球団用,本格派
202607090371,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ナチュラルシュート、ノビD、乱調、回復D、対ピンチC、対左打者B、打たれ強さE、送球D、重い球、闘志,架空球団用,技巧派
202607090372,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビD、フライボールピッチャー、回復D、対ピンチD、対左打者C、打たれ強さD、送球D,架空球団用,技巧派
202607090380,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、テンポ○、ノビE、一発、回復D、対ピンチE、対左打者D、打たれ強さE、緩急○、軽い球、送球E,架空球団用,技巧派
202607090385,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさF、ノビC、乱調、回復G、対ピンチD、対左打者C、打たれ強さC、牽制○、軽い球、送球E,架空球団用,本格派
202607090391,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさF、ノビB、一発、回復D、対ピンチD、対左打者F、打たれ強さD、打球反応○、投球位置左、立ち上がり○、送球D、速球中心,架空球団用,速球派
202607090406,投手,四球・抜け球・乱調と低コントロール,クイックF、クロスファイヤー、ケガしにくさB、テンポ○、ノビG、四球、回またぎ○、回復G、対ピンチD、対左打者E、打たれ強さD、牽制○、送球D、重い球,架空球団用,本格派
202607090411,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさD、ノビD、一発、回復D、対ピンチD、対左打者D、打たれ強さG、真っスラ、送球D,架空球団用,スタミナ型
202607090416,投手,ノビ系と球速,クイックD、ケガしにくさE、ノビC、回復D、変化球中心、対ピンチD、対左打者D、打たれ強さF、牽制○、送球B,架空球団用,技巧派
202607090424,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさE、ノビD、一発、全開、回復C、対ピンチD、対左打者C、打たれ強さC、送球D,架空球団用,本格派
202607090441,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさF、ノビD、乱調、回復C、対ピンチE、対左打者D、打たれ強さE、送球D,架空球団用,スタミナ型
202607090446,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ジャイロボール、ノビC、乱調、回復E、対ピンチE、対左打者G、打たれ強さC、根性、軽い球、送球D,架空球団用,速球派
202607090446,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ジャイロボール、ノビC、乱調、回復E、対ピンチE、対左打者G、打たれ強さC、根性、軽い球、送球D,架空球団用,速球派
202607090447,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさC、ナチュラルシュート、ノビD、フライボールピッチャー、勝ち運、回復D、国際大会×、対ピンチB、対左打者C、打たれ強さE、抜け球、緊急登板○、送球D,架空球団用,技巧派
202607090457,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、乱調、回復B、対ピンチC、対左打者D、打たれ強さE、抜け球、荒れ球、送球D、逃げ球,架空球団用,技巧派
202607090472,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさE、ナチュラルシュート、ノビC、ボール先行、四球、回復D、対ピンチD、対左打者D、打たれ強さD、送球D、速球中心、重い球,架空球団用,速球派
202607090475,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ストライク先行、ノビD、四球、回復D、対ピンチB、対左打者C、打たれ強さD、投手調子安定、送球E、逃げ球,架空球団用,技巧派
202607090480,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさD、ノビD、一発、内角攻め、回復G、対ピンチF、対左打者D、打たれ強さD、送球D,架空球団用,本格派
202607090481,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ナチュラルシュート、ノビD、回復D、対ピンチD、対左打者D、打たれ強さC、打球反応○、抜け球、立ち上がり○、送球D、逃げ球,架空球団用,技巧派
202607090486,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさE、ノビD、四球、回復D、対ピンチD、対左打者C、打たれ強さD、投手存在感、要所○、軽い球、送球D,架空球団用,技巧派
202607090489,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、乱調、回またぎ○、回復D、奪三振、対ピンチC、対左打者E、打たれ強さD、打球反応○、送球D,架空球団用,本格派
202607090497,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさG、テンポ○、ノビD、回復B、対ピンチD、対左打者E、打たれ強さF、投手調子安定、抜け球、短気、要所○、送球D、逃げ球,架空球団用,本格派
202607090501,投手,先発用特殊能力と先発適正,クイックE、ケガしにくさD、テンポ○、ノビD、回復C、対ピンチF、対左打者D、尻上がり、打たれ強さD、送球D,架空球団用,変化球派
202607090505,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさD、テンポ○、ノビE、リリース○、乱調、回復E、対ピンチD、対左打者D、打たれ強さC、要所○、送球D,架空球団用,速球派
202607090522,投手,四球・抜け球・乱調と低コントロール,キレ○、クイックD、ケガしにくさA、ノビD、四球、回復D、対ピンチB、対左打者C、打たれ強さE、抜け球、真っスラ、送球D、闘志,架空球団用,技巧派
202607090522,投手,ノビ系と球速,キレ○、クイックD、ケガしにくさA、ノビD、四球、回復D、対ピンチB、対左打者C、打たれ強さE、抜け球、真っスラ、送球D、闘志,架空球団用,技巧派
202607090531,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさE、ノビG、乱調、回復B、対ピンチE、対左打者C、打たれ強さD、送球E,架空球団用,技巧派
202607090533,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビD、ポーカーフェイス、回復D、国際大会○、対ピンチB、対左打者D、打たれ強さD、送球F,架空球団用,技巧派
202607090535,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさC、ノビF、四球、回復D、対ピンチD、対左打者D、打たれ強さD、送球D、速球中心,架空球団用,変化球派
202607090537,投手,一発・軽い球と球速・総変化量,キレ○、クイックD、ケガしにくさD、ノビD、ボール先行、内角攻め、回復E、対ピンチD、対左打者E、打たれ強さC、軽い球、送球E、速球中心,架空球団用,変化球派
202607090556,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビC、回またぎ○、回復D、対ピンチC、対ランナー×、対左打者D、打たれ強さE、抜け球、送球D,架空球団用,変化球派
202607090559,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、一発、乱調、回復D、国際大会○、奪三振、対ピンチC、対ランナー×、対左打者A、打たれ強さC、球速安定、軽い球、送球C,架空球団用,技巧派
202607090559,投手,奪三振系と球速・総変化量,クイックD、ケガしにくさD、ノビD、一発、乱調、回復D、国際大会○、奪三振、対ピンチC、対ランナー×、対左打者A、打たれ強さC、球速安定、軽い球、送球C,架空球団用,技巧派
202607090562,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさB、ノビC、一発、回復D、対ピンチC、対左打者D、尻上がり、打たれ強さD、投手調子安定、送球D、速球中心,架空球団用,技巧派
