データ,分布,集計軸,値,人数,割合%
実在12球団,総変化量分布,全体,,1,
実在12球団,総変化量分布,全体,,22,
実在12球団,総変化量分布,全体,,53,
実在12球団,総変化量分布,全体,,105,
実在12球団,総変化量分布,全体,,99,
実在12球団,総変化量分布,全体,,63,
実在12球団,総変化量分布,全体,,39,
実在12球団,総変化量分布,全体,,15,
実在12球団,総変化量分布,全体,,4,
実在12球団,総変化量分布,全体,,1,
生成,総変化量,全体,1,32,0.21
生成,総変化量,全体,2,273,1.82
生成,総変化量,全体,3,436,2.91
生成,総変化量,全体,4,1244,8.29
生成,総変化量,全体,5,1832,12.21
生成,総変化量,全体,6,2334,15.56
生成,総変化量,全体,7,2897,19.31
生成,総変化量,全体,8,2730,18.2
生成,総変化量,全体,9,1775,11.83
生成,総変化量,全体,10,888,5.92
生成,総変化量,全体,11,322,2.15
生成,総変化量,全体,12,153,1.02
生成,総変化量,全体,13,65,0.43
生成,総変化量,全体,14,15,0.1
生成,総変化量,全体,15,4,0.03
生成,総変化量サマリー,全体,平均,15000,6.9
生成,総変化量,カテゴリ=ドラフト候補用,1,29,0.58
生成,総変化量,カテゴリ=ドラフト候補用,2,230,4.6
生成,総変化量,カテゴリ=ドラフト候補用,3,338,6.76
生成,総変化量,カテゴリ=ドラフト候補用,4,818,16.36
生成,総変化量,カテゴリ=ドラフト候補用,5,1027,20.54
生成,総変化量,カテゴリ=ドラフト候補用,6,883,17.66
生成,総変化量,カテゴリ=ドラフト候補用,7,797,15.94
生成,総変化量,カテゴリ=ドラフト候補用,8,515,10.3
生成,総変化量,カテゴリ=ドラフト候補用,9,251,5.02
生成,総変化量,カテゴリ=ドラフト候補用,10,86,1.72
生成,総変化量,カテゴリ=ドラフト候補用,11,19,0.38
生成,総変化量,カテゴリ=ドラフト候補用,12,5,0.1
生成,総変化量,カテゴリ=ドラフト候補用,13,2,0.04
生成,総変化量サマリー,カテゴリ=ドラフト候補用,平均,5000,5.664
生成,総変化量,カテゴリ=助っ人外国人用,1,1,0.02
生成,総変化量,カテゴリ=助っ人外国人用,2,11,0.22
生成,総変化量,カテゴリ=助っ人外国人用,3,31,0.62
生成,総変化量,カテゴリ=助っ人外国人用,4,103,2.06
生成,総変化量,カテゴリ=助っ人外国人用,5,212,4.24
生成,総変化量,カテゴリ=助っ人外国人用,6,545,10.9
生成,総変化量,カテゴリ=助っ人外国人用,7,986,19.72
生成,総変化量,カテゴリ=助っ人外国人用,8,1136,22.72
生成,総変化量,カテゴリ=助っ人外国人用,9,931,18.62
生成,総変化量,カテゴリ=助っ人外国人用,10,574,11.48
生成,総変化量,カテゴリ=助っ人外国人用,11,257,5.14
生成,総変化量,カテゴリ=助っ人外国人用,12,137,2.74
生成,総変化量,カテゴリ=助っ人外国人用,13,57,1.14
生成,総変化量,カテゴリ=助っ人外国人用,14,15,0.3
生成,総変化量,カテゴリ=助っ人外国人用,15,4,0.08
生成,総変化量サマリー,カテゴリ=助っ人外国人用,平均,5000,8.09
生成,総変化量,カテゴリ=架空球団用,1,2,0.04
生成,総変化量,カテゴリ=架空球団用,2,32,0.64
生成,総変化量,カテゴリ=架空球団用,3,67,1.34
生成,総変化量,カテゴリ=架空球団用,4,323,6.46
生成,総変化量,カテゴリ=架空球団用,5,593,11.86
生成,総変化量,カテゴリ=架空球団用,6,906,18.12
生成,総変化量,カテゴリ=架空球団用,7,1114,22.28
生成,総変化量,カテゴリ=架空球団用,8,1079,21.58
生成,総変化量,カテゴリ=架空球団用,9,593,11.86
生成,総変化量,カテゴリ=架空球団用,10,228,4.56
生成,総変化量,カテゴリ=架空球団用,11,46,0.92
生成,総変化量,カテゴリ=架空球団用,12,11,0.22
生成,総変化量,カテゴリ=架空球団用,13,6,0.12
生成,総変化量サマリー,カテゴリ=架空球団用,平均,5000,6.945
生成,総変化量,先発適正=-,1,12,0.25
生成,総変化量,先発適正=-,2,117,2.46
生成,総変化量,先発適正=-,3,151,3.17
生成,総変化量,先発適正=-,4,426,8.95
生成,総変化量,先発適正=-,5,586,12.31
生成,総変化量,先発適正=-,6,718,15.08
生成,総変化量,先発適正=-,7,887,18.63
生成,総変化量,先発適正=-,8,873,18.34
生成,総変化量,先発適正=-,9,527,11.07
生成,総変化量,先発適正=-,10,276,5.8
生成,総変化量,先発適正=-,11,105,2.21
生成,総変化量,先発適正=-,12,57,1.2
生成,総変化量,先発適正=-,13,20,0.42
生成,総変化量,先発適正=-,14,3,0.06
生成,総変化量,先発適正=-,15,2,0.04
生成,総変化量サマリー,先発適正=-,平均,4760,6.829
生成,総変化量,先発適正=○,1,10,0.32
生成,総変化量,先発適正=○,2,75,2.4
生成,総変化量,先発適正=○,3,104,3.33
生成,総変化量,先発適正=○,4,280,8.97
生成,総変化量,先発適正=○,5,371,11.88
生成,総変化量,先発適正=○,6,507,16.24
生成,総変化量,先発適正=○,7,634,20.31
生成,総変化量,先発適正=○,8,545,17.46
